id,title,url
huwi-cjPPXU,Introduce Yourself in Slow German | Super Easy German 258,https://www.youtube.com/watch?v=huwi-cjPPXU
Yaelm87PTvg,Introduce yourself in German (for absolute beginners) | Super Easy German (76),https://www.youtube.com/watch?v=Yaelm87PTvg
hAkxKMlYUI4,German Alphabet & Pronunciation - Full Guide | Super Easy German 253,https://www.youtube.com/watch?v=hAkxKMlYUI4
LQiHX6OY_BI,Our Morning Routine in Slow German | Super Easy German 232,https://www.youtube.com/watch?v=LQiHX6OY_BI
aRlakaPVrEw,Learn Basic German Greetings & Farewells in Slow German | Super Easy German 274,https://www.youtube.com/watch?v=aRlakaPVrEw
9h8p08qziG0,"Conjugation of regular verbs: Sagen, Machen, Hören | Super Easy German (83)",https://www.youtube.com/watch?v=9h8p08qziG0
uO0jWxhVW1A,Easy German - Basic Conversation Phrases 1,https://www.youtube.com/watch?v=uO0jWxhVW1A
QNq1Xp6DgJw,Easy German - Basic Conversation Phrases 2,https://www.youtube.com/watch?v=QNq1Xp6DgJw
Q3eCDhwMRv8,How to learn the German Plural endings | Super Easy German (127),https://www.youtube.com/watch?v=Q3eCDhwMRv8
tNrwiUGHMiU,Emotions in Slow German | Super Easy German 263,https://www.youtube.com/watch?v=tNrwiUGHMiU
MqqHc6lRQG4,Winter in Berlin in Slow German | Super Easy German 273,https://www.youtube.com/watch?v=MqqHc6lRQG4
r94aqLUO0wo,Introduce yourself in Slow German | Super Easy German (1),https://www.youtube.com/watch?v=r94aqLUO0wo
QCGdeH4hYdo,Counting in German from 1 - 100 | Super Easy German 178,https://www.youtube.com/watch?v=QCGdeH4hYdo
NsqA8_SmdVI,How to Tell the Time in German | Super Easy German 183,https://www.youtube.com/watch?v=NsqA8_SmdVI
o-Zu-bUlPb4,Possessive Pronouns in German | Super Easy German 223,https://www.youtube.com/watch?v=o-Zu-bUlPb4
ITjyfCAspco,How to Remember Possessive Article Endings | Super Easy German 225,https://www.youtube.com/watch?v=ITjyfCAspco
8QTb4is_fKw,"Hoch, höher am höchsten! | Super Easy German (63)",https://www.youtube.com/watch?v=8QTb4is_fKw
RvcmpwHG1eQ,The Weather | Super Easy German (14),https://www.youtube.com/watch?v=RvcmpwHG1eQ
OFSHdj_2FQA,Ordering in a Restaurant in Slow German | Super Easy German 236,https://www.youtube.com/watch?v=OFSHdj_2FQA
h5085YiFRnI,How to order drinks in German | Super Easy German (109),https://www.youtube.com/watch?v=h5085YiFRnI
qYtsk5yH_nw,Our Lunch Break in Slow German | Super Easy German 265,https://www.youtube.com/watch?v=qYtsk5yH_nw
jUOvnHOsvXM,How to order Coffee in Germany? | Super Easy German (99),https://www.youtube.com/watch?v=jUOvnHOsvXM
3a__H9ejF4s,Having Breakfast in Slow German | Super Easy German 233,https://www.youtube.com/watch?v=3a__H9ejF4s
D91icSuPYQ4,Supermarket in Slow German | Super Easy German 288,https://www.youtube.com/watch?v=D91icSuPYQ4
